id,name,year,season,status,type,comment,url,downloaded
203,Gabriel DropOut,2017,winter,completed,TV,dl,https://myanimelist.net/anime/33731/Gabriel_DropOut,1
204,Kemono Friends,2017,winter,completed,TV,dl,https://myanimelist.net/anime/33089/Kemono_Friends,1
205,Kobayashi-san Chi no Maid Dragon,2017,winter,completed,TV,dl,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon,1
206,Nyanko Days,2017,winter,completed,Short TV,dl,https://myanimelist.net/anime/34148/Nyanko_Days,1
207,Cinderella Girls Gekijou,2017,spring,completed,Short TV,dl 4+4 seasons,https://myanimelist.net/anime/34257/Cinderella_Girls_Gekijou,1
208,Eromanga-sensei,2017,spring,completed,TV,,https://myanimelist.net/anime/32901/Eromanga-sensei,1
209,Rokudenashi Majutsu Koushi to Akashic Records,2017,spring,completed,TV,dl,https://myanimelist.net/anime/32951/Rokudenashi_Majutsu_Koushi_to_Akashic_Records,1
210,Sakura Quest,2017,spring,completed,TV,dl,https://myanimelist.net/anime/34494/Sakura_Quest,1
211,Shingeki no Kyojin Season 2,2017,spring,completed,TV,dl all 4 seasons,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,1
212,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,2017,spring,completed,TV,dl,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,1
213,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,2017,summer,completed,Movie,,https://myanimelist.net/anime/34100/Fate_kaleid_liner_Prisma%E2%98%86Illya_Movie__Sekka_no_Chikai,1
214,Kakegurui,2017,summer,completed,TV,dl,https://myanimelist.net/anime/34933/Kakegurui,1
215,Made in Abyss,2017,summer,completed,TV,dl,https://myanimelist.net/anime/34599/Made_in_Abyss,1
216,New Game!!,2017,summer,completed,TV,,https://myanimelist.net/anime/34914/New_Game,1
217,Princess Principal,2017,summer,completed,TV,dl,https://myanimelist.net/anime/35240/Princess_Principal,1
218,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,2017,summer,completed,TV,dl,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,1
219,Blend S,2017,fall,completed,TV,dl,https://myanimelist.net/anime/34618/Blend_S,1
220,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,2017,fall,completed,Movie,dl,https://myanimelist.net/anime/25537/Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower,1
221,Himouto! Umaru-chan R,2017,fall,completed,TV,dl,https://myanimelist.net/anime/35376/Himouto_Umaru-chan_R,1
222,Houseki no Kuni,2017,fall,completed,TV,dl,https://myanimelist.net/anime/35557/Houseki_no_Kuni,1
223,Konohana Kitan,2017,fall,completed,TV,dl,https://myanimelist.net/anime/35241/Konohana_Kitan,1
224,Net-juu no Susume,2017,fall,completed,TV,dl,https://myanimelist.net/anime/36038/Net-juu_no_Susume,1
225,Shoujo Shuumatsu Ryokou,2017,fall,completed,TV,dl,https://myanimelist.net/anime/35838/Shoujo_Shuumatsu_Ryokou,1
226,Akira,2017,other,completed,Movie,dl,,1
227,Casshern Sins,2017,other,completed,TV,re-watch,https://myanimelist.net/anime/4981/,1
228,Eromanga-sensei OVA,2017,other,completed,OVA,dl,https://myanimelist.net/anime/32901/Eromanga-sensei,1
229,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,2017,other,completed,Movie,dl,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,1
230,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,2017,other,completed,Movie,"sequel, dl",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,1
231,Made in Abyss: Retsujitsu no Ougonkyou,2017,other,completed,TV,,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,1
232,Pale Cocoon,2017,other,completed,OVA,dl,https://myanimelist.net/anime/770/Pale_Cocoon,1
233,Paradise Kiss,2017,other,completed,TV,dl,https://myanimelist.net/anime/322/Paradise_Kiss,1
234,Planetes,2017,other,completed,TV,dl,https://myanimelist.net/anime/329/Planetes,1
235,Popotan,2017,other,completed,,,,1
236,Princess Principal: Crown Handler Movie 1,2017,other,completed,Movie,dl,https://myanimelist.net/anime/37807/Princess_Principal__Crown_Handler_Movie_1,1
237,Princess Tutu,2017,other,completed,TV,dl,https://myanimelist.net/anime/721/,1
238,Pupipo!,2017,other,completed,,,,1
239,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,2017,other,completed,Movie,,,1
240,Sansha Sanyou,2017,other,completed,TV,dl,https://myanimelist.net/anime/31564/Sansha_Sanyou,1
241,Shingeki no Kyojin Season 3,2017,other,completed,TV,,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,1
242,Shingeki no Kyojin Season 3 Part 2,2017,other,completed,TV,,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,1
243,Shingeki no Kyojin: The Final Season,2017,other,completed,TV,,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,1
244,Shingeki no Kyojin: The Final Season Part 2,2017,other,completed,TV,,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,1
245,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,2017,other,completed,TV,dl,https://myanimelist.net/anime/51096/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,1
246,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,2017,other,completed,TV,"sequel, dl",https://myanimelist.net/anime/51180/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_3rd_Season,1
247,Boku dake ga Inai Machi,2016,winter,completed,TV,,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,1
248,Hai to Gensou no Grimgar,2016,winter,completed,TV,,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,1
249,Kono Subarashii Sekai ni Shukufuku wo!,2016,winter,completed,TV,,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo,1
250,Mahou Shoujo Nante Mou Ii desu kara.,2016,winter,completed,Short TV,,https://myanimelist.net/anime/31793/Mahou_Shoujo_Nante_Mou_Ii_desu_kara,1
251,New Initial D Movie: Legend 3 - Mugen,2016,winter,completed,Movie,,https://myanimelist.net/anime/30952/New_Initial_D_Movie__Legend_3_-_Mugen,1
252,Ooya-san wa Shishunki!,2016,winter,completed,Short TV,,https://myanimelist.net/anime/31621/Ooya-san_wa_Shishunki,1
253,Oshiete! Galko-chan,2016,winter,completed,Short TV,,https://myanimelist.net/anime/32013/Oshiete_Galko-chan,1
254,Arslan Senki (TV): Fuujin Ranbu,2016,spring,completed,TV,,https://myanimelist.net/anime/31821/Arslan_Senki_TV__Fuujin_Ranbu,1
255,Fate/kaleid liner Prisma☆Illya 3rei!!,2016,spring,completed,TV,,https://myanimelist.net/anime/31706/Fate_kaleid_liner_Prisma%E2%98%86Illya_3rei,1
256,Fudanshi Koukou Seikatsu,2016,spring,completed,Short TV,,https://myanimelist.net/anime/33222/Fudanshi_Koukou_Seikatsu,1
257,Honobono Log,2016,spring,completed,Short TV,,https://myanimelist.net/anime/33241/Honobono_Log,1
258,Koe no Katachi,2016,spring,completed,Movie,,https://myanimelist.net/anime/28851/Koe_no_Katachi,1
259,Koutetsujou no Kabaneri,2016,spring,completed,TV,,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri,1
260,Mob Psycho 100,2016,spring,completed,TV,,https://myanimelist.net/anime/32182/Mob_Psycho_100,1
261,New Game!,2016,spring,completed,TV,,https://myanimelist.net/anime/31953/New_Game,1
262,Re:Zero kara Hajimeru Isekai Seikatsu,2016,spring,completed,TV,,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,1
263,Summer,2016,spring,completed,,,,1
264,Gakuen Handsome,2016,fall,completed,Short TV,,https://myanimelist.net/anime/33392/Gakuen_Handsome,1
265,Gantz:O,2016,fall,completed,Movie,,https://myanimelist.net/anime/32071/Gantz_O,1
266,Kiitarou Shounen no Youkai Enikki,2016,fall,completed,Short TV,,https://myanimelist.net/anime/33244/Kiitarou_Shounen_no_Youkai_Enikki,1
267,Kono Sekai no Katasumi ni,2016,fall,completed,Movie,,https://myanimelist.net/anime/15227/Kono_Sekai_no_Katasumi_ni,1
268,Nobunaga no Shinobi,2016,fall,completed,Short TV,,https://myanimelist.net/anime/32829/Nobunaga_no_Shinobi,1
269,Okusama ga Seitokaichou!+!,2016,fall,completed,Short TV,,https://myanimelist.net/anime/32603/Okusama_ga_Seitokaichou_,1
